clade_name	D10-1	D10-2	D10-3	D11-1	D11-2	D11-3	D12-1	D12-2	D12-3	D13-1	D13-2	D13-3	D14-1	D14-2	D14-3	D15-1	D15-2	D15-3	D16-1	D16-2	D16-3	D17-1	D17-2	D17-3	D2-1	D2-2	D2-3	D3-1	D3-2	D3-3	D4-1	D4-2	D4-3	D5-1	D5-2	D5-3	D6-1	D6-2	D6-3	D7-1	D7-2	D7-3	D8-1	D8-2	D8-3	D9-1	D9-2	D9-3	I10-1	I10-2	I10-3	I11-1	I11-2	I11-3	I2-1	I2-2	I2-3	I3-1	I3-2	I3-3	I4-1	I4-2	I4-3	I5-1	I5-2	I5-3	I6-1	I6-2	I6-3	I7-1	I7-2	I7-3	I8-1	I8-2	I8-3	I9-1	I9-2	I9-3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei	35.94617	41.89191	43.46583	44.54851	41.5961	37.84977	24.79709	36.33077	26.57538	32.57797	35.93852	37.08176	28.84625	24.09688	49.6326	45.45031	35.29297	40.76719	35.75231	22.86974	16.22912	26.73595	29.47655	30.87607	36.08948	37.54079	35.82152	60.95491	61.65254	55.63999	47.51881	49.61656	44.78376	44.84811	38.51971	46.74527	39.65325	38.76227	43.07147	40.17519	43.73823	37.90067	16.59137	32.74559	15.09457	31.69193	38.89415	36.97691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum	19.36502	22.01562	20.19233	19.43953	17.94327	25.0546	34.09972	24.5861	21.565	28.45515	22.77739	19.70377	32.83715	23.84865	18.62838	21.67113	23.54373	23.35742	24.16536	29.25106	27.19546	39.16462	35.57257	34.93641	18.22682	21.85858	20.24018	0.0	0.0	0.0	12.41442	10.75309	11.00103	19.92692	20.92158	20.87289	21.55061	22.02092	19.75673	20.29631	17.59393	18.918	24.68098	29.9553	37.16028	24.62625	19.64157	25.79587	0.5231	0.78235	0.56034	0.77553	0.8381	0.74889	0.5423	0.65338	0.51892	0.0	0.0	0.0	0.51221	0.40314	0.35064	0.61778	0.57802	0.74085	0.37698	0.53569	0.5965	0.75197	0.87535	0.55125	0.42759	0.51185	0.41536	0.5841	0.42117	0.51669
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	8.5576	5.00802	4.21434	2.37319	8.69645	3.30752	2.89525	2.68159	8.08235	2.99478	2.4941	2.56695	2.86818	4.06786	1.97055	2.80753	4.5063	4.1054	6.113	1.95049	5.97249	1.72442	2.18895	1.61528	7.507	5.07487	7.09136	4.5162	7.41373	8.85223	7.69104	6.58428	3.67595	3.84268	7.52488	2.32375	5.99682	3.56666	3.29289	5.2738	5.62339	5.948	7.21342	1.84089	2.0314	7.01913	10.29426	1.93373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	7.6491	8.23578	6.40683	6.17036	5.58436	6.64316	8.0455	8.5495	9.62846	10.30156	7.8081	8.24039	10.41077	10.34923	6.37734	6.99519	8.80345	7.89033	9.22237	8.81897	8.59213	7.13412	10.088	8.319	6.05843	6.09399	6.69748	0.0	0.0	0.0	0.81148	0.45781	0.79053	5.86848	6.81572	6.30985	6.72349	6.71722	7.02729	6.39813	7.1543	7.68642	5.58342	8.41881	11.93743	8.20957	5.9753	8.37196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei	4.00854	2.23318	5.15782	7.2556	4.74929	2.44303	8.85854	8.2894	10.86887	2.04941	2.52039	4.50862	1.59323	10.56023	2.66149	4.99041	2.98778	2.16752	1.96177	9.09746	16.80962	6.62141	2.68689	4.25791	4.72362	8.04727	8.55259	10.75895	5.77578	8.27534	7.09556	10.27008	8.65527	4.07791	5.39451	4.12487	5.87886	7.85142	4.4601	5.96795	4.76747	10.09805	26.45987	5.02005	5.14448	6.76779	4.74417	2.11862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_gordoncarteri	3.08703	2.68564	2.60751	2.68387	2.73175	2.74136	2.8684	2.45208	2.75242	2.68064	2.56286	2.83889	2.40438	3.27342	2.82209	2.42535	2.92595	2.86329	2.70664	2.32392	2.40015	1.66483	2.09028	1.87418	2.49586	2.78416	3.0555	2.19139	1.97897	1.83006	3.19078	3.28275	3.22038	2.54159	2.80489	2.71264	2.85919	2.96337	2.94486	2.79455	2.86138	2.68789	2.74411	2.35057	2.87815	2.54059	2.74971	2.63284	0.08982	0.07848	0.08077	0.11338	0.11243	0.11397	0.08313	0.07226	0.08382	0.0282	0.05114	0.03572	0.08094	0.07766	0.07588	0.07887	0.09251	0.08947	0.08171	0.07718	0.08099	0.09138	0.08949	0.08985	0.09713	0.08294	0.0935	0.08201	0.0822	0.08545
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	2.49956	2.13987	1.80722	2.86888	2.69039	3.75749	2.05899	1.67898	2.49379	2.53259	2.31284	2.74754	2.0294	1.86068	1.83441	1.90739	1.6924	2.48347	2.31571	2.02666	2.00734	1.22795	0.85341	0.82359	1.83137	2.7222	2.32361	7.34274	9.46172	10.87189	3.53731	3.26325	4.873	2.7524	2.68224	1.79382	2.55354	3.13213	3.07439	2.39869	2.31545	2.3232	2.56556	2.53429	1.54832	2.09928	2.45398	2.09137	1.00631	0.9291	1.03944	0.85731	0.92865	1.00085	0.89858	0.82935	1.00639	1.17825	1.15296	0.87861	0.74108	0.74653	0.68228	0.94041	1.13616	0.85316	1.47921	1.23289	1.20749	0.93016	0.94617	0.95631	0.89949	0.93874	0.99165	1.52488	1.35237	1.55496
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	2.21122	1.57073	0.76602	0.73785	2.13505	2.0021	0.0	0.49625	1.65594	0.39366	7.44881	5.74255	0.00467	0.77566	0.90262	0.13716	0.41993	0.07241	1.36303	6.20992	1.34681	0.58606	0.93353	1.02684	10.10386	0.48525	0.70639	3.23745	1.34583	1.14633	4.17566	3.27769	9.61132	0.93882	1.13568	0.32571	0.93821	0.42408	1.12192	1.30854	2.28652	1.70929	1.0609	0.88405	0.94193	0.17826	1.99872	2.36465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	1.82759	2.05875	2.47851	1.50669	0.89345	2.11545	2.32207	2.86595	2.7206	3.95031	3.15608	2.77949	4.66039	3.88176	1.84489	1.98603	3.1382	2.29085	3.22384	3.86224	3.9779	1.40384	2.10156	1.81958	1.17101	1.75164	1.76057	0.03584	0.03549	0.03648	0.29668	0.22535	0.15136	2.47728	1.40359	2.04444	1.56581	1.35225	1.56375	1.56941	1.42354	1.32736	0.72599	3.21101	5.24555	3.55718	0.93595	3.79158	0.00181	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.00096	8e-05	0.0	0.00082	0.00155	0.00035	0.00023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_murinus	1.74782	1.42502	1.74884	1.45738	1.7102	1.97824	2.32537	1.63254	1.51449	1.47147	1.50589	1.26099	1.64737	1.59327	1.56644	1.34507	1.15755	1.62851	1.18914	1.64197	2.19264	3.18277	1.04216	1.64278	1.61334	2.03946	1.40711	6.34347	6.65305	7.71675	1.28437	1.03631	0.70943	1.44696	1.10512	1.51921	1.12802	1.55076	1.77677	1.72553	1.10161	1.14934	1.66494	1.73013	3.24017	1.91579	1.46939	1.8937	0.50223	0.28986	0.30802	0.30091	0.28662	0.27365	0.28487	0.09357	0.20998	8.57909	10.80873	10.01931	1.55699	1.46475	1.94988	0.25424	0.26722	0.31233	0.2942	0.30929	0.3514	0.32524	0.3835	0.48407	0.38019	0.2517	0.44263	0.31521	0.2804	0.2856
